src/cli/commands/swarm.ts(233,20): error TS2339: Property 'shutdown' does not exist on type 'SwarmMemory'.
src/memory/backends/markdown.ts(139,9): error TS18048: 'e.tags' is possibly 'undefined'.
src/memory/backends/markdown.ts(210,11): error TS18046: 'error' is of type 'unknown'.
src/memory/backends/markdown.ts(265,9): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/backends/markdown.ts(266,31): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/backends/markdown.ts(271,21): error TS2769: No overload matches this call.
src/memory/cache.ts(184,13): error TS18048: 'entry.sessionId' is possibly 'undefined'.
src/memory/cache.ts(189,13): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/distributed-memory.ts(634,7): error TS2353: Object literal may only specify known properties, and 'filter' does not exist in type 'MemoryQuery'.
src/memory/indexer.ts(95,27): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/memory/indexer.ts(98,23): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/indexer.ts(127,30): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/memory/indexer.ts(130,23): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/manager.ts(241,11): error TS18048: 'entry.tags' is possibly 'undefined'.
src/memory/manager.ts(286,16): error TS18048: 'existing.version' is possibly 'undefined'.
src/memory/manager.ts(364,11): error TS2532: Object is possibly 'undefined'.
src/memory/manager.ts(366,51): error TS2532: Object is possibly 'undefined'.
src/memory/manager.ts(431,5): error TS2322: Type 'Timeout' is not assignable to type 'number'.
src/memory/swarm-memory.ts(174,43): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
src/memory/types.ts(338,32): error TS4115: This parameter property must have an 'override' modifier because it overrides a member in base class 'Error'.
src/migration/migration-runner.ts(110,100): error TS18046: 'error' is of type 'unknown'.
src/migration/migration-runner.ts(163,27): error TS2488: Type 'Record<string, CommandMigration>' must have a '[Symbol.iterator]()' method that returns an iterator.
src/migration/migration-runner.ts(479,9): error TS2322: Type '{ source: string; target: string; }[]' is not assignable to type 'Record<string, CommandMigration>'.
src/migration/rollback-manager.ts(149,7): error TS2322: Type 'MigrationBackup | undefined' is not assignable to type 'MigrationBackup'.
src/monitoring/diagnostics.ts(644,40): error TS18046: 'metric' is of type 'unknown'.
src/monitoring/diagnostics.ts(645,37): error TS18046: 'metric' is of type 'unknown'.
src/monitoring/diagnostics.ts(648,51): error TS18046: 'metric' is of type 'unknown'.
src/monitoring/diagnostics.ts(649,20): error TS18046: 'metric' is of type 'unknown'.
src/monitoring/diagnostics.ts(659,25): error TS18046: 'error' is of type 'unknown'.
src/monitoring/diagnostics.ts(667,18): error TS18046: 'error' is of type 'unknown'.
src/monitoring/diagnostics.ts(667,35): error TS18046: 'error' is of type 'unknown'.
src/monitoring/diagnostics.ts(669,16): error TS18046: 'error' is of type 'unknown'.
src/monitoring/health-check.ts(215,28): error TS2339: Property 'healthCheck' does not exist on type '{}'.
src/monitoring/health-check.ts(217,21): error TS2339: Property 'healthCheck' does not exist on type '{}'.
src/monitoring/health-check.ts(442,50): error TS2345: Argument of type '(status: ComponentStatus) => void' is not assignable to parameter of type '(data: unknown) => void'.
src/monitoring/real-time-monitor.ts(201,31): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(201,45): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(206,18): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(207,15): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(208,13): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(214,54): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(214,76): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(218,56): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(219,42): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(219,67): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(223,53): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(223,73): error TS18046: 'data' is of type 'unknown'.
src/monitoring/real-time-monitor.ts(228,32): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'Partial<SystemMetrics>'.
src/monitoring/real-time-monitor.ts(232,31): error TS18046: 'data' is of type 'unknown'.
src/resources/resource-manager.ts(390,32): error TS18046: 'data' is of type 'unknown'.
src/resources/resource-manager.ts(390,49): error TS18046: 'data' is of type 'unknown'.
src/swarm/claude-flow-executor.ts(71,7): error TS2740: Type '{ output: any; artifacts: any; metadata: { executionTime: number; sparcMode: string; command: string; exitCode: any; quality: number; completeness: number; }; error: any; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, quality, and 6 more.
src/swarm/claude-flow-executor.ts(98,9): error TS2322: Type 'string' is not assignable to type 'TaskError'.
src/swarm/claude-flow-executor.ts(149,12): error TS7053: Element implicitly has an 'any' type because expression of type 'AgentType' can't be used to index type '{ coding: string; testing: string; analysis: string; documentation: string; research: string; review: string; deployment: string; optimization: string; integration: string; coder: string; tester: string; ... 4 more ...; coordinator: string; }'.
src/swarm/claude-flow-executor.ts(149,35): error TS7053: Element implicitly has an 'any' type because expression of type 'TaskType' can't be used to index type '{ coding: string; testing: string; analysis: string; documentation: string; research: string; review: string; deployment: string; optimization: string; integration: string; coder: string; tester: string; ... 4 more ...; coordinator: string; }'.
src/swarm/claude-flow-executor.ts(220,33): error TS7006: Parameter 'match' implicitly has an 'any' type.
src/swarm/coordinator.ts(189,31): error TS2345: Argument of type 'AgentId' is not assignable to parameter of type 'string'.
src/swarm/coordinator.ts(215,32): error TS2345: Argument of type 'AgentId' is not assignable to parameter of type 'string'.
src/swarm/coordinator.ts(258,7): error TS2741: Property 'resourceLimits' is missing in type '{ minQuality: number; requiredApprovals: never[]; allowedFailures: number; recoveryTime: number; milestones: never[]; }' but required in type 'SwarmConstraints'.
src/swarm/coordinator.ts(520,16): error TS18046: 'error' is of type 'unknown'.
src/swarm/coordinator.ts(601,11): error TS2322: Type '{ id: TaskId; type: TaskType; name: string; description: string; objective?: string | undefined; requirements: TaskRequirements; constraints: TaskConstraints; ... 18 more ...; statusHistory: TaskStatusChange[]; }' is not assignable to type 'TaskDefinition'.
src/swarm/coordinator.ts(676,7): error TS2322: Type 'string | null' is not assignable to type 'string | undefined'.
src/swarm/coordinator.ts(800,5): error TS2739: Type '{ output: any; artifacts: {}; metadata: {}; quality: number; completeness: number; accuracy: number; executionTime: number; resourcesUsed: {}; validated: false; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, timestamp
src/swarm/coordinator.ts(1548,35): error TS2367: This comparison appears to be unintentional because the types 'SwarmMode' and '"parallel"' have no overlap.
src/swarm/coordinator.ts(1672,67): error TS2345: Argument of type '"generic"' is not assignable to parameter of type 'TaskType'.
src/swarm/coordinator.ts(1711,5): error TS2741: Property 'objective' is missing in type '{ id: TaskId; type: TaskType; name: any; description: any; instructions: any; requirements: { capabilities: any; tools: string[]; permissions: string[]; }; constraints: { dependencies: any; dependents: never[]; conflicts: never[]; maxRetries: 3; timeoutAfter: any; }; ... 8 more ...; statusHistory: { ...; }[]; }' but required in type 'TaskDefinition'.
src/swarm/coordinator.ts(1841,9): error TS2322: Type '"task.queued"' is not assignable to type 'EventType'.
src/swarm/coordinator.ts(1940,13): error TS2322: Type '"task.queued"' is not assignable to type 'EventType'.
src/swarm/coordinator.ts(2032,13): error TS2322: Type '"objective.completed" | "objective.failed"' is not assignable to type 'EventType'.
src/swarm/coordinator.ts(2186,30): error TS2339: Property 'logging' does not exist on type 'SwarmConfig'.
src/swarm/coordinator.ts(2190,62): error TS2345: Argument of type 'string | null' is not assignable to parameter of type 'string | undefined'.
src/swarm/coordinator.ts(2538,25): error TS2339: Property 'createGradioApp' does not exist on type 'SwarmCoordinator'.
src/swarm/coordinator.ts(2541,25): error TS2339: Property 'createPythonRestAPI' does not exist on type 'SwarmCoordinator'.
src/swarm/direct-executor.ts(59,7): error TS2739: Type '{ output: any; artifacts: {}; metadata: { agentId: string; agentType: AgentType; executionTime: number; targetDir: string | undefined; }; quality: number; completeness: number; accuracy: number; executionTime: number; resourcesUsed: { ...; }; validated: true; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, timestamp
src/swarm/direct-executor.ts(113,50): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(114,47): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(115,47): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(116,51): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(117,56): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(118,56): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/direct-executor.ts(119,38): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/executor-v2.ts(42,9): error TS4114: This member must have an 'override' modifier because it overrides a member in the base class 'TaskExecutor'.
src/swarm/executor-v2.ts(63,20): error TS2341: Property 'createExecutionContext' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(70,18): error TS18046: 'error' is of type 'unknown'.
src/swarm/executor-v2.ts(75,25): error TS2339: Property 'dangerouslySkipPermissions' does not exist on type 'ClaudeExecutionOptionsV2 & { appliedDefaults: string[]; }'.
src/swarm/executor-v2.ts(81,22): error TS2341: Property 'createExecutionContext' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(94,14): error TS2304: Cannot find name 'ExecutionContext'.
src/swarm/executor-v2.ts(98,45): error TS2341: Property 'config' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(151,19): error TS2341: Property 'config' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(185,22): error TS2341: Property 'config' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(208,22): error TS2341: Property 'config' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(247,46): error TS2341: Property 'collectResourceUsage' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(250,42): error TS2341: Property 'collectArtifacts' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(278,22): error TS18046: 'collectionError' is of type 'unknown'.
src/swarm/executor-v2.ts(299,18): error TS18046: 'spawnError' is of type 'unknown'.
src/swarm/executor-v2.ts(310,6): error TS2304: Cannot find name 'ClaudeCommand'.
src/swarm/executor-v2.ts(315,25): error TS2341: Property 'buildClaudePrompt' is private and only accessible within class 'TaskExecutor'.
src/swarm/executor-v2.ts(344,43): error TS2339: Property 'dangerouslySkipPermissions' does not exist on type 'ClaudeExecutionOptionsV2'.
src/swarm/executor-v2.ts(400,38): error TS2304: Cannot find name 'ResourceUsage'.
src/swarm/executor.ts(80,9): error TS2322: Type 'string' is not assignable to type '"debug" | "info" | "warn" | "error"'.
src/swarm/executor.ts(162,16): error TS18046: 'error' is of type 'unknown'.
